,med,lo_68,hi_68,lo_95,hi_95
2021-09-16,40.451219512195124,13.730909090909089,64.25894736842105,1.9465909090909093,85.47045454545456
2021-09-17,38.62068965517241,11.36375,62.51384615384615,1.5724137931034483,84.49090909090907
2021-09-18,40.57692307692308,11.62857142857143,64.29333333333335,1.2395833333333337,85.89285714285712
2021-09-19,39.325581395348834,10.950000000000001,62.57647058823529,1.5434782608695654,84.70000000000016
2021-09-20,39.75000000000001,12.35741935483871,63.31157894736844,1.8132352941176473,85.02916666666678
2021-09-21,39.516666666666666,12.0825,62.49263157894737,2.2177083333333334,84.25227272727277
2021-09-22,39.34285714285714,11.788235294117646,64.20000000000006,1.3392857142857144,85.16666666666688
2021-09-23,39.145161290322584,10.977142857142857,62.842857142857156,1.6141304347826089,85.984375
2021-09-24,38.25862068965516,10.026666666666667,62.75764705882353,2.0375,83.225
2021-09-25,41.06666666666666,11.326153846153845,62.77454545454544,1.927777777777778,83.04999999999995
2021-09-26,39.173913043478265,10.54,61.63529411764707,0.8611111111111112,82.30000000000005
2021-09-27,41.15,11.408000000000001,64.07166666666664,2.4382352941176473,85.44374999999997
2021-09-28,40.69354838709677,11.85257142857143,64.39692307692306,2.331666666666667,85.78055555555562
2021-09-29,39.70689655172414,10.830588235294119,62.910399999999996,1.9403846153846158,83.62916666666658
2021-09-30,41.775862068965516,11.838000000000001,64.40222222222222,2.05125,86.13928571428573
2021-10-01,40.37179487179487,11.493333333333332,63.847272727272724,1.6012500000000003,86.8861111111111
2021-10-02,41.30769230769231,13.824761904761907,65.88,2.3964285714285714,86.645
2021-10-03,41.971428571428575,13.615000000000002,63.679999999999986,2.7,84.47999999999998
2021-10-04,42.35294117647059,12.488333333333333,65.51555555555554,1.3222222222222224,85.19999999999995
2021-10-05,41.404761904761905,12.954285714285714,65.264,1.6565789473684212,86.56562500000004
2021-10-06,42.583333333333336,12.889230769230771,65.91333333333334,2.5014705882352946,84.4972222222223
2021-10-07,40.78260869565217,12.24,63.63809523809523,1.5454545454545454,85.77777777777783
2021-10-08,41.3,11.954666666666668,63.052307692307686,2.3339285714285714,85.44166666666665
2021-10-09,42.78787878787878,13.064000000000002,65.48,2.0352941176470587,86.85000000000002
2021-10-10,43.083333333333336,13.614117647058825,64.58666666666666,2.419736842105263,85.0931818181818
2021-10-11,41.568965517241374,10.653333333333334,64.835,2.3237500000000004,86.7541666666666
2021-10-12,42.76470588235294,13.968000000000004,65.7295238095238,2.628947368421053,85.00499999999997
2021-10-13,43.05263157894737,15.208000000000004,65.49333333333331,2.4093750000000003,85.09000000000005
2021-10-14,41.35714285714286,11.633846153846156,66.56000000000003,1.7333333333333336,86.52307692307694
2021-10-15,42.67857142857143,11.784444444444446,65.194,2.348529411764706,86.61500000000011
2021-10-16,42.981481481481474,12.693333333333333,66.87999999999998,3.2056818181818185,86.29499999999999
2021-10-17,43.21052631578948,12.949473684210524,64.5695238095238,2.9214285714285717,83.95625000000003
2021-10-18,42.702380952380935,12.46341463414634,67.36363636363629,2.863095238095238,85.4874999999998
2021-10-19,42.803921568627466,12.957500000000003,65.97090909090916,3.444,84.82500000000014
2021-10-20,43.53846153846153,14.819047619047621,66.67272727272726,2.839285714285715,85.10416666666663
2021-10-21,43.41071428571429,13.188571428571429,64.40500000000002,2.682608695652174,84.27500000000003
2021-10-22,42.95454545454545,12.232258064516127,66.51034482758618,3.340909090909091,86.23333333333328
2021-10-23,44.00925925925926,13.41714285714286,65.20533333333331,3.3601851851851854,85.28437499999995
2021-10-24,43.34313725490197,11.794482758620692,65.5584,2.6510869565217394,84.83750000000005
2021-10-25,43.41269841269841,11.944761904761904,66.30799999999998,2.680769230769231,84.36666666666666
